Participant ID,Timestamp,Global Time (seconds),Note
1063,2025-12-03 11:18:24.645,337,"Instagram would open on the MR display but appeared as a blank opaque screen . User described it as looking like a screen protector."
1063,2025-12-03 11:19:17.630,390,"The instagram app on the MR display did not open unless instagram was open on the phone."
1063,2025-12-03 11:21:24.949,517,"Although Instagram needed to be open on the phon first before playing on the glasses,  it continues to play when closed."
