Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 08:59:56.488,603,600,3,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 08:59:58.173,604,600,4,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 09:09:19.830,1166,1200,-34,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 09:09:21.592,1168,1200,-32,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 09:19:16.088,1762,1800,-38,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,discomfort,2025-12-04 09:19:18.255,1764,1800,-36,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 09:19:20.293,1766,1800,-34,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 09:29:16.219,2362,2400,-38,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 09:29:18.483,2365,2400,-35,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 09:39:23.267,2969,3000,-31,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 09:39:28.581,2975,3000,-25,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 09:49:27.593,3574,3600,-26,0,"Real world, plain backdrop",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,discomfort,2025-12-04 09:49:28.700,3575,3600,-25,0,"Real world, plain backdrop",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 09:49:30.233,3576,3600,-24,1,"Real world, plain backdrop",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 09:59:14.797,4161,4200,-39,0,"Glasses screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 09:59:16.006,4162,4200,-38,1,"Glasses screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 10:09:21.186,4767,4800,-33,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 10:09:23.968,4770,4800,-30,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 10:19:19.183,5365,5400,-35,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,discomfort,2025-12-04 10:19:21.006,5367,5400,-33,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 10:19:22.287,5368,5400,-32,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 10:29:19.539,5966,6000,-34,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 10:29:20.897,5967,6000,-33,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 10:39:18.051,6564,6600,-36,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 10:39:19.189,6565,6600,-35,1,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,misc,2025-12-04 10:49:15.770,7162,7200,-38,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,discomfort,2025-12-04 10:49:17.214,7163,7200,-37,0,"Phone screen",false
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,eyestrain,2025-12-04 10:49:20.753,7167,7200,-33,1,"Phone screen",false
