Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 17:06:27.306,566,600,-34,0,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 17:06:31.233,570,600,-30,1,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 17:16:30.975,1170,1200,-30,0,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 17:16:33.761,1172,1200,-28,1,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 17:26:27.550,1766,1800,-34,0,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,discomfort,2025-12-01 17:26:30.770,1769,1800,-31,0,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 17:26:33.067,1772,1800,-28,1,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 17:46:21.784,2960,3000,-40,0,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 17:46:23.899,2963,3000,-37,1,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 17:56:20.926,3560,3600,-40,0,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,discomfort,2025-12-01 17:56:24.308,3563,3600,-37,0,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 17:56:28.954,3568,3600,-32,1,"Glasses screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 18:06:21.699,4160,4200,-40,0,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 18:06:23.712,4162,4200,-38,1,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,misc,2025-12-01 18:16:19.801,4758,4800,-42,0,"Glasses screen, Phone screen",false
1062,GTR,AI Glasses & Neural Band,Capture & Share,1,2,eyestrain,2025-12-01 18:16:22.085,4761,4800,-39,1,"Glasses screen, Phone screen",false
