Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 14:57:52.939,571,600,-29,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 14:57:56.486,575,600,-25,1,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 15:07:47.448,1166,1200,-34,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 15:07:55.717,1174,1200,-26,1,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 15:17:46.653,1765,1800,-35,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,discomfort,2026-01-06 15:17:53.884,1772,1800,-28,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 15:17:57.098,1775,1800,-25,1,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 15:27:48.565,2367,2400,-33,0,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 15:27:53.062,2371,2400,-29,1,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 15:37:48.549,2967,3000,-33,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 15:37:53.300,2971,3000,-29,1,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 15:48:01.888,3580,3600,-20,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,discomfort,2026-01-06 15:48:12.052,3590,3600,-10,1,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 15:48:17.347,3595,3600,-5,1,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 15:57:43.415,4161,4200,-39,0,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 15:57:49.318,4167,4200,-33,1,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 16:07:48.002,4766,4800,-34,0,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 16:07:51.898,4770,4800,-30,2,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 16:17:46.157,5364,5400,-36,0,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,discomfort,2026-01-06 16:17:52.087,5370,5400,-30,1,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 16:17:56.536,5375,5400,-25,1,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 16:27:47.588,5966,6000,-34,0,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 16:27:52.992,5971,6000,-29,2,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 16:37:48.547,6567,6600,-33,0,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 16:37:52.731,6571,6600,-29,2,"Glasses screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,misc,2026-01-06 16:47:54.730,7173,7200,-27,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,discomfort,2026-01-06 16:47:59.844,7178,7200,-22,0,"Phone screen",false
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,eyestrain,2026-01-06 16:48:03.258,7181,7200,-19,2,"Phone screen",false
