Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
3013,JMH,AI Glasses & Neural Band,Watching,2,1,misc,2026-01-27 09:43:41.666,615,600,15,0,"Real world, busy/mixed backdrop",false
3013,JMH,AI Glasses & Neural Band,Watching,2,1,eyestrain,2026-01-27 09:43:43.000,616,600,16,1,"Real world, busy/mixed backdrop",false
3013,JMH,AI Glasses & Neural Band,Watching,2,1,misc,2026-01-27 09:53:31.061,1204,1200,4,1,"Glasses screen",false
3013,JMH,AI Glasses & Neural Band,Watching,2,1,eyestrain,2026-01-27 09:53:34.706,1208,1200,8,1,"Glasses screen",false
