Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 13:33:22.258,561,600,-39,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 13:33:24.158,563,600,-37,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 13:43:21.788,1161,1200,-39,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 13:43:23.271,1162,1200,-38,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 13:53:24.982,1764,1800,-36,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,discomfort,2025-12-11 13:53:28.959,1768,1800,-32,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 13:53:31.096,1770,1800,-30,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 14:03:26.711,2366,2400,-34,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 14:03:27.835,2367,2400,-33,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 14:13:33.700,2973,3000,-27,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 14:13:35.199,2974,3000,-26,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 14:23:20.364,3560,3600,-40,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,discomfort,2025-12-11 14:23:22.426,3562,3600,-38,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 14:23:23.743,3563,3600,-37,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 14:33:21.544,4161,4200,-39,0,"Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 14:33:22.807,4162,4200,-38,1,"Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 14:43:19.245,4758,4800,-42,0,"Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 14:43:20.642,4760,4800,-40,1,"Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 14:53:21.522,5361,5400,-39,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,discomfort,2025-12-11 14:53:22.937,5362,5400,-38,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 14:53:24.037,5363,5400,-37,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 15:03:22.661,5962,6000,-38,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 15:03:23.756,5963,6000,-37,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 15:13:21.507,6561,6600,-39,0,"Phone screen",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 15:13:23.003,6562,6600,-38,1,"Phone screen",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,misc,2025-12-11 15:23:25.497,7165,7200,-35,0,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,discomfort,2025-12-11 15:23:27.461,7167,7200,-33,1,"Phone screen, Real world, busy/mixed backdrop",false
1071,WIL,Gen 2 Glasses,Discover & Learn,4,2,eyestrain,2025-12-11 15:23:28.611,7168,7200,-32,1,"Phone screen, Real world, busy/mixed backdrop",false
